intron,SAMPLE,SGK1_status,scaledCPM
int_1,SRR8512989,Wild Type,1.9152644120144546
int_1,SRR8512991,Wild Type,1.668891348068037
int_1,SRR8512993,Wild Type,1.531131136389896
int_1,SRR8512994,Wild Type,2.645486753294254
int_1,SRR8512995,Wild Type,0.16403530931505864
int_1,SRR8512996,Wild Type,0.738303503142817
int_1,SRR8512997,Wild Type,1.0338840137449525
int_1,SRR8512998,Wild Type,1.281997824332749
int_1,SRR8512999,Wild Type,2.5124846331151782
int_1,SRR8513001,Wild Type,1.1359243476012364
int_1,SRR8513002,Wild Type,0.8569267957320972
int_1,SRR8513003,Wild Type,0.4977647386233594
int_1,SRR8513004,Wild Type,0.19849601152075558
int_1,SRR8513005,Wild Type,0.6900076107963162
int_1,SRR8513008,Wild Type,2.0106594241603277
int_1,SRR8513009,Wild Type,2.181197224696829
int_1,SRR8513011,Wild Type,1.5852662575018848
int_1,SRR8513012,Wild Type,0.8523722026559682
int_1,SRR8513014,Intron Mutant,3.0010015938202796
int_1,SRR8513015,Wild Type,1.4913685828426286
int_1,SRR8513016,Wild Type,2.0121720521682853
int_1,SRR8513017,Wild Type,1.8753418473162247
int_1,SRR8513018,Wild Type,2.1416748313271636
int_1,SRR8513019,Wild Type,2.6607868120293996
int_1,SRR8513020,Wild Type,2.4165112203711847
int_1,SRR8513021,Wild Type,1.9157651155175428
int_1,SRR8513022,Wild Type,2.694477453760747
int_1,SRR8513023,Wild Type,1.927869374504307
int_1,SRR8513025,Wild Type,2.364792912948677
int_1,SRR8513026,Wild Type,0.872184496437306
int_1,SRR8513027,Wild Type,1.3819035537236966
int_1,SRR8513029,Wild Type,1.9456996552746042
int_1,SRR8513030,Wild Type,2.0589838661765865
int_1,SRR8513031,Wild Type,0.951681570310252
int_1,SRR8513032,Wild Type,1.2538345474882917
int_1,SRR8513033,Wild Type,0.5870224192950483
int_1,SRR8513034,Wild Type,1.9709612613903678
int_1,SRR8513035,Wild Type,0.08447747529543069
int_1,SRR8513037,Wild Type,0.8248927276466076
int_1,SRR8513039,Wild Type,2.675692420003789
int_1,SRR8513041,Wild Type,8.874458353890464e-4
int_1,SRR8513042,Wild Type,2.144862991694045
int_1,SRR8513043,Wild Type,1.0402936646948335
int_1,SRR8513044,Wild Type,0.8390012776252178
int_1,SRR8513045,Wild Type,1.7538977833864475
int_1,SRR8513046,Wild Type,1.2911210408059572
int_1,SRR8513049,Wild Type,1.8310611339497809
int_1,SRR8513050,Wild Type,1.8475543255804143
int_1,SRR8513051,Wild Type,1.9167028936239772
int_1,SRR8513052,Wild Type,1.3909265343967392
int_1,SRR8513054,Wild Type,0.6005300335509193
int_1,SRR8513055,Wild Type,2.3101723961970766
int_1,SRR8513056,Wild Type,-0.710922820654047
int_1,SRR8513057,Wild Type,0.16258482289341775
int_1,SRR8513058,Intron Mutant,2.840416846162267
int_1,SRR8513059,Wild Type,2.140088368329585
int_1,SRR8513060,Wild Type,1.4475716272708021
int_1,SRR8513061,Wild Type,0.41502439198182367
int_1,SRR8513063,Wild Type,1.457054438583689
int_1,SRR8513064,Wild Type,1.019970718376354
int_1,SRR8513066,Wild Type,1.3443047005862703
int_1,SRR8513068,Wild Type,2.196886170046426
int_1,SRR8513069,Wild Type,1.9025541394293275
int_1,SRR8513072,Wild Type,-0.6001173403481305
int_1,SRR8513073,Wild Type,1.5612316108783433
int_1,SRR8513074,Wild Type,2.0075655172338176
int_1,SRR8513075,Exon Mutant,1.249992275126835
int_1,SRR8513077,Wild Type,2.036995086504837
int_1,SRR8513079,Wild Type,0.09433710777185203
int_1,SRR8513080,Intron Mutant,2.178217127196607
int_1,SRR8513081,Wild Type,2.830810330721332
int_1,SRR8513082,Wild Type,-0.45835977607766126
int_1,SRR8513083,Wild Type,0.9832264572347408
int_1,SRR8513085,Wild Type,2.227094558625483
int_1,SRR8513086,Wild Type,1.4969922647989815
int_1,SRR8513087,Wild Type,0.7464805068796425
int_1,SRR8513088,Wild Type,1.6814439090904358
int_1,SRR8513089,Wild Type,1.3359084937252999
int_1,SRR8513090,Wild Type,1.0571658410595302
int_1,SRR8513091,Wild Type,0.5194970686700668
int_1,SRR8513093,Wild Type,2.52614105364723
int_1,SRR8513094,Exon Mutant,2.449905149809426
int_1,SRR8513095,Wild Type,1.188885020763416
int_1,SRR8513096,Wild Type,1.2210938719161084
int_1,SRR8513097,Intron Mutant,2.8201882993742684
int_1,SRR8513098,Wild Type,1.419092730968834
int_1,SRR8513099,Wild Type,0.944808274880964
int_1,SRR8513100,Wild Type,-0.5421522817022963
int_1,SRR8513101,Wild Type,1.8389567651145564
int_1,SRR8513102,Wild Type,1.6197978645438584
int_1,SRR8513104,Wild Type,2.4827342900242453
int_1,SRR8513107,Wild Type,1.609772752943442
int_1,SRR8513108,Wild Type,2.365457702863672
int_1,SRR8513111,Wild Type,2.158618268994028
int_1,SRR8513112,Wild Type,0.4399961046686037
int_1,SRR8513113,Wild Type,2.3431357465375804
int_1,SRR8513114,Wild Type,1.4882815250775296
int_1,SRR8513115,Wild Type,0.5081512852352258
